cluster,devicename,consumerno,2026-09-01,RECIEVED,EXPECTED,PERCENTAGE,INSTALLATION_DATE
cluster_4,ISKUS0601895,74443107096,0,0,1,0.0,2025-05-02 00:00:00
cluster_4,ISKUS0604009,29513202410,0,0,1,0.0,2025-04-04 00:00:00
cluster_4,ISKUS0604011,29513202321,0,0,1,0.0,2025-04-04 00:00:00
cluster_4,ISKUS0604016,29513202372,1,1,1,100.0,2025-04-04 00:00:00
cluster_4,ISKUS0604036,29532204474,0,0,1,0.0,2025-04-21 00:00:00
cluster_4,ISKUS0604056,29539203066,0,0,1,0.0,2025-05-13 00:00:00
cluster_4,ISKUS0604081,29531207550,0,0,1,0.0,2025-04-21 00:00:00
cluster_4,ISKUS0604085,29543204225,0,0,1,0.0,2025-04-24 00:00:00
cluster_4,ISKUS0604087,29532204504,0,0,1,0.0,2025-04-28 00:00:00
cluster_4,ISKUS0604116,75931306544,0,0,1,0.0,2025-04-24 00:00:00
cluster_4,ISKUS0604117,75927304834,0,0,1,0.0,2025-04-21 00:00:00
cluster_4,ISKUS0604163,75961108791,0,0,1,0.0,2025-05-23 00:00:00
cluster_4,ISKUS0604170,75956302623,0,0,1,0.0,2025-05-23 00:00:00
cluster_4,ISKUS0604179,75927304842,0,0,1,0.0,2025-06-13 00:00:00
cluster_4,ISKUS0604271,75934303058,0,0,1,0.0,2025-07-24 00:00:00
cluster_4,ISKUS0604273,75909304267,0,0,1,0.0,2025-06-17 00:00:00
cluster_4,ISKUS0604276,75921303143,0,0,1,0.0,2025-12-01 00:00:00
cluster_4,ISKUS0604283,75941301529,0,0,1,0.0,2025-06-23 00:00:00
cluster_4,ISKUS0604284,75952303099,0,0,1,0.0,2025-06-19 00:00:00
cluster_4,ISKUS0604285,75934303040,0,0,1,0.0,2025-06-19 00:00:00
cluster_4,ISKUS0604286,75934303031,0,0,1,0.0,2025-06-19 00:00:00
cluster_4,ISKUS0604287,75931306617,0,0,1,0.0,2025-06-19 00:00:00
cluster_4,ISKUS0604290,75931306609,0,0,1,0.0,2025-06-19 00:00:00
cluster_4,ISKUS0604354,75931306625,0,0,1,0.0,2025-07-02 00:00:00
cluster_4,ISKUS0604361,75960302349,0,0,1,0.0,2025-12-28 00:00:00
cluster_4,ISKUS0604365,75958301403,0,0,1,0.0,2025-12-31 00:00:00
cluster_4,ISKUS0604366,75958301411,0,0,1,0.0,2025-12-31 00:00:00
cluster_4,ISKUS0604367,75958301390,0,0,1,0.0,2025-12-28 00:00:00
cluster_4,ISKUS0604368,75959301903,0,0,1,0.0,2025-12-31 00:00:00
cluster_4,ISKUS0604373,75924302067,0,0,1,0.0,2025-12-13 00:00:00
cluster_4,ISKUS0604375,75932303158,0,0,1,0.0,2025-12-12 00:00:00
cluster_4,ISKUS0604377,75918300996,0,0,1,0.0,2025-07-09 00:00:00
cluster_4,ISKUS0604392,75931306650,0,0,1,0.0,2025-07-24 00:00:00
cluster_4,ISKUS0604396,75955305629,0,0,1,0.0,2025-11-07 00:00:00
cluster_4,ISKUS0604417,75921303194,0,0,1,0.0,2026-01-01 00:00:00
cluster_4,ISKUS0604427,75903008151,0,0,1,0.0,2025-08-14 00:00:00
cluster_4,ISKUS0604431,75931306595,0,0,1,0.0,2025-08-14 00:00:00
cluster_4,ISKUS0604434,75954301972,0,0,1,0.0,2025-08-12 00:00:00
cluster_4,ISKUS0604448,75921303135,0,0,1,0.0,2025-11-15 00:00:00
cluster_4,ISKUS0604470,75961108902,0,0,1,0.0,2025-09-12 00:00:00
cluster_4,ISKUS0604471,75919301635,0,0,1,0.0,2025-09-12 00:00:00
cluster_4,ISKUS0604478,75935302993,0,0,1,0.0,2025-09-19 00:00:00
cluster_4,ISKUS0604488,75936303926,0,0,1,0.0,2025-09-27 00:00:00
cluster_4,ISKUS0604525,75925100719,0,0,1,0.0,2025-09-25 00:00:00
cluster_4,ISKUS0604535,75940301525,0,0,1,0.0,2025-12-02 00:00:00
cluster_4,ISKUS0604539,75958301365,0,0,1,0.0,2025-11-28 00:00:00
cluster_4,ISKUS0604541,75923305232,0,0,1,0.0,2025-10-14 00:00:00
cluster_4,ISKUS0604551,75960302314,0,0,1,0.0,2025-10-28 00:00:00
cluster_4,ISKUS0604552,75962113675,0,0,1,0.0,2025-11-17 00:00:00
cluster_4,ISKUS0604566,75931105395,0,0,1,0.0,2025-11-08 00:00:00
cluster_4,ISKUS0604571,75927304915,0,0,1,0.0,2025-12-03 00:00:00
cluster_4,ISKUS0604574,75961108945,0,0,1,0.0,2025-11-12 00:00:00
cluster_4,ISKUS0604578,75927101410,0,0,1,0.0,2026-03-21 00:00:00
cluster_4,ISKUS0604581,75932303212,0,0,1,0.0,2025-11-17 00:00:00
cluster_4,ISKUS0604584,75962113683,0,0,1,0.0,2025-11-17 00:00:00
cluster_4,ISKUS0604589,75942301085,0,0,1,0.0,2025-11-18 00:00:00
cluster_4,ISKUS0604593,75937301897,0,0,1,0.0,2026-01-02 00:00:00
cluster_4,ISKUS0604603,75925103645,0,0,1,0.0,2025-11-26 00:00:00
cluster_4,ISKUS0604610,75923305267,0,0,1,0.0,2025-12-02 00:00:00
cluster_3,ISKUS0605008,75526101681,1,1,1,100.0,2025-08-06 00:00:00
cluster_3,ISKUS0605043,75503102894,0,0,1,0.0,2025-08-11 00:00:00
cluster_3,ISKUS0605058,75512102273,0,0,1,0.0,2025-06-10 00:00:00
cluster_3,ISKUS0605158,75506103190,0,0,1,0.0,2025-04-04 00:00:00
cluster_3,ISKUS0605770,75524103504,0,0,1,0.0,2025-04-16 00:00:00
cluster_4,ISKUS0604539,75958301365,0,0,1,0.0,2025-10-11 00:00:00
cluster_3,ISKUS0387962,75620106314,0,0,1,0.0,2026-01-31 00:00:00
cluster_3,ISKUS0388825,72550116194,0,0,1,0.0,2025-03-01 00:00:00
cluster_3,ISKUS0388826,72528126182,0,0,1,0.0,2025-03-04 00:00:00
cluster_3,ISKUS0388872,70857102567,0,0,1,0.0,2025-02-27 00:00:00
cluster_3,ISKUS0388879,70874104653,0,0,1,0.0,2025-02-28 00:00:00
cluster_3,ISKUS0389483,70875101887,0,0,1,0.0,2025-03-17 00:00:00
cluster_3,ISKUS0389484,70887102174,0,0,1,0.0,2025-03-17 00:00:00
cluster_3,ISKUS0389485,70887102182,0,0,1,0.0,2025-03-17 00:00:00
cluster_3,ISKUS0392762,70401303187,0,0,1,0.0,2025-03-11 00:00:00
cluster_4,ISKUS0393682,74420113928,0,0,1,0.0,2025-02-19 00:00:00
cluster_4,ISKUS0393685,74432119659,0,0,1,0.0,2025-02-19 00:00:00
cluster_4,ISKUS0393686,74411105357,0,0,1,0.0,2025-02-19 00:00:00
cluster_4,ISKUS0393690,74455104348,0,0,1,0.0,2025-02-20 00:00:00
cluster_3,ISKUS0394191,70845100890,0,0,1,0.0,2025-04-19 00:00:00
cluster_4,ISKUS0394430,74426122341,0,0,1,0.0,2025-03-22 00:00:00
cluster_4,ISKUS0394827,23915000850,1,1,1,100.0,2025-11-04 00:00:00
cluster_3,ISKUS0399394,71006107193,0,0,1,0.0,2025-03-28 00:00:00
cluster_4,ISKUS0399851,23912100845,0,0,1,0.0,2026-01-02 00:00:00
cluster_4,ISKUS0400740,29435102930,0,0,1,0.0,2025-04-21 00:00:00
cluster_4,ISKUS0400748,29437102155,0,0,1,0.0,2025-04-03 00:00:00
cluster_4,ISKUS0402280,29217108529,0,0,1,0.0,2025-04-21 00:00:00
cluster_4,ISKUS0404471,29658106927,0,0,1,0.0,2025-03-13 00:00:00
cluster_4,ISKUS0404472,29654102129,0,0,1,0.0,2025-03-16 00:00:00
cluster_4,ISKUS0404473,29658106935,0,0,1,0.0,2025-03-15 00:00:00
cluster_3,ISKUS0409832,71033100900,0,0,1,0.0,2025-03-29 00:00:00
cluster_3,ISKUS0409836,71006107177,0,0,1,0.0,2025-03-10 00:00:00
cluster_3,ISKUS0409872,71026101808,0,0,1,0.0,2025-02-28 00:00:00
cluster_3,ISKUS0412217,71323104496,0,0,1,0.0,2025-03-07 00:00:00
cluster_3,ISKUS0412220,71332167950,0,0,1,0.0,2025-03-07 00:00:00
cluster_3,ISKUS0412859,76906104926,1,1,1,100.0,2025-02-27 00:00:00
